Nombre,New column 1,New column 2 Url
Magic: the Gathering - Fire // Ice - Duel Decks: Izzet vs Golgari,"$10.59
$10
.
59",https://www.amazon.com.mx/Magic-Gathering-Decks-Izzet-Golgari/dp/B00B1UQUAW/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-1
Rupture Spire - Commander Anthology Vol. II,,https://www.amazon.com.mx/Rupture-Spire-Commander-Anthology-Vol/dp/B07DQCNLGQ/ref=sr_1_2?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-2
Magic: the Gathering - Jade Monolith - Fifth Edition,,https://www.amazon.com.mx/Magic-Gathering-Jade-Monolith-Fifth/dp/B0062DPZA4/ref=sr_1_3?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-3
"Magic: The Gathering - Slogurk, The Overslime - Innistrad: Midnight Hunt","$11.62
$11
.
62",https://www.amazon.com.mx/Magic-Gathering-Overslime-Innistrad-Midnight/dp/B09M5SZZD9/ref=sr_1_4?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-4
Magic: the Gathering - Human Monk Token (010) - Kamigawa: Neon Dynasty,,https://www.amazon.com.mx/Magic-Gathering-Human-Kamigawa-Dynasty/dp/B09SZ1GN1G/ref=sr_1_5?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-5
Lonely Sandbar - Commander Anthology Vol. II,,https://www.amazon.com.mx/Lonely-Sandbar-Commander-Anthology-Vol/dp/B07DQBYZC6/ref=sr_1_6?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-6
Magic: the Gathering - Lady Orca - Anthologies,,https://www.amazon.com.mx/Magic-Gathering-Lady-Orca-Anthologies/dp/B0062DY6CM/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-7
Epochrasite - Commander Anthology Vol. II,,https://www.amazon.com.mx/Epochrasite-Commander-Anthology-Vol-II/dp/B07DPVV82S/ref=sr_1_8?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-8
Magic: The Gathering - Sobresalto - Papel de aluminio - Innistrad: Midnight Hunt,"$12.36
$12
.
36",https://www.amazon.com.mx/Magic-Gathering-Sobresalto-aluminio-Innistrad/dp/B09M6JWVS2/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-9
Magic: the Gathering - Icatian Store - Fifth Edition,,https://www.amazon.com.mx/Magic-Gathering-Icatian-Store-Fifth/dp/B0062DPV4E/ref=sr_1_10?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=VA8EPD2GZCGK&dib=eyJ2IjoiMSJ9.-7dDUhi__hO5GsV2j7Fr3X4POC88GRVlDpjGZMuDnur4yAL1pu3pfHXRRofmp_0Op7Iqk1wz5jCEOl75AbNi3xYIB4pWigsgZST3a5hoUTEO0FJhrNsvILcWSldnM3My9h_5K3s8WQ3LvKtxYleJWGs_J0zqhjI62MlI_yYh5WgeUqtCI-8WmMW6EGHodWqw-MJc9kul9YSk98OBRb243AdHkgDclXuaQ8_dcX7yg_dTM7iOvxAo9gFEj1k3Trdsb2n2a2uqDc_hQ3EVE9fL0gmTNafqsxGERel816Ky7PY.cqz21wSxrMuy3esrw64DmjXnOBBeqaxzDYkM2B3R4E8&dib_tag=se&keywords=Magic%3A+The+Gathering&qid=1722097148&refinements=p_123%3A359217&rnid=119962389011&s=toys&sprefix=magic+the+gathering%2Caps%2C372&sr=1-10
